

** [alpha] Launch Training on 20230725_2110
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "SEGFORMER",
  "baseModel": "MITB2",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "const",
  "lr": 6e-05,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* SEGFORMER Model W/ MIT B0 Pretrained Wegiths\n",
  "isCompleted": false,
  "config": "Config/TRAIN_SEGFORMER_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230725_2115 @20230725_2115 [EP 1/500] lr: 6e-05, took: 262.72s (avg: 262.72s), ETA: 1d:12h:18m:58s [TRAIN] loss: 0.8826, iou: 0.0654, f1: 0.1174 [EVAL] loss: 0.7375, iou: 0.1525, f1: 0.2625
@20230726_0700 @20230726_0700 [EP 295/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:6h:43m:10s [TRAIN] loss: 0.1556, iou: 0.7409, f1: 0.8444 [EVAL] loss: 0.2154, iou: 0.6553, f1: 0.7846
@20230726_0702 @20230726_0702 [EP 296/500] lr: 6e-05, took: 118.21s (avg: 118.21s), ETA: 0d:6h:41m:12s [TRAIN] loss: 0.1554, iou: 0.7412, f1: 0.8446 [EVAL] loss: 0.2152, iou: 0.6556, f1: 0.7848
@20230726_0704 @20230726_0704 [EP 297/500] lr: 6e-05, took: 118.28s (avg: 118.28s), ETA: 0d:6h:39m:14s [TRAIN] loss: 0.1555, iou: 0.7410, f1: 0.8445 [EVAL] loss: 0.2166, iou: 0.6537, f1: 0.7834
@20230726_0706 @20230726_0706 [EP 298/500] lr: 6e-05, took: 118.21s (avg: 118.21s), ETA: 0d:6h:37m:16s [TRAIN] loss: 0.1560, iou: 0.7403, f1: 0.8440 [EVAL] loss: 0.2168, iou: 0.6534, f1: 0.7832
@20230726_0708 @20230726_0708 [EP 299/500] lr: 6e-05, took: 118.21s (avg: 118.21s), ETA: 0d:6h:35m:18s [TRAIN] loss: 0.1561, iou: 0.7401, f1: 0.8439 [EVAL] loss: 0.2168, iou: 0.6536, f1: 0.7832
@20230726_0710 @20230726_0710 [EP 300/500] lr: 6e-05, took: 118.19s (avg: 118.19s), ETA: 0d:6h:33m:20s [TRAIN] loss: 0.1564, iou: 0.7396, f1: 0.8436 [EVAL] loss: 0.2192, iou: 0.6500, f1: 0.7808
@20230726_0712 @20230726_0712 [EP 301/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:6h:31m:22s [TRAIN] loss: 0.1570, iou: 0.7387, f1: 0.8430 [EVAL] loss: 0.2219, iou: 0.6463, f1: 0.7781
@20230726_0714 @20230726_0714 [EP 302/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:6h:26m:6s [TRAIN] loss: 0.1570, iou: 0.7388, f1: 0.8430 [EVAL] loss: 0.2214, iou: 0.6471, f1: 0.7786
@20230726_0716 @20230726_0716 [EP 303/500] lr: 6e-05, took: 118.20s (avg: 118.20s), ETA: 0d:6h:27m:26s [TRAIN] loss: 0.1577, iou: 0.7376, f1: 0.8423 [EVAL] loss: 0.2191, iou: 0.6503, f1: 0.7809
@20230726_0718 @20230726_0718 [EP 304/500] lr: 6e-05, took: 118.18s (avg: 118.18s), ETA: 0d:6h:25m:28s [TRAIN] loss: 0.1587, iou: 0.7361, f1: 0.8413 [EVAL] loss: 0.2171, iou: 0.6532, f1: 0.7829
@20230726_0720 @20230726_0720 [EP 305/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:6h:23m:30s [TRAIN] loss: 0.1588, iou: 0.7361, f1: 0.8412 [EVAL] loss: 0.2157, iou: 0.6549, f1: 0.7843
@20230726_0722 @20230726_0722 [EP 306/500] lr: 6e-05, took: 118.64s (avg: 118.64s), ETA: 0d:6h:21m:32s [TRAIN] loss: 0.1585, iou: 0.7364, f1: 0.8415 [EVAL] loss: 0.2156, iou: 0.6549, f1: 0.7844
@20230726_0724 @20230726_0724 [EP 307/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:6h:19m:34s [TRAIN] loss: 0.1581, iou: 0.7372, f1: 0.8419 [EVAL] loss: 0.2157, iou: 0.6547, f1: 0.7843
@20230726_0726 @20230726_0726 [EP 308/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:6h:17m:36s [TRAIN] loss: 0.1577, iou: 0.7376, f1: 0.8423 [EVAL] loss: 0.2159, iou: 0.6543, f1: 0.7841
@20230726_0728 @20230726_0728 [EP 309/500] lr: 6e-05, took: 118.17s (avg: 118.17s), ETA: 0d:6h:15m:38s [TRAIN] loss: 0.1574, iou: 0.7381, f1: 0.8426 [EVAL] loss: 0.2165, iou: 0.6537, f1: 0.7835
@20230726_0730 @20230726_0730 [EP 310/500] lr: 6e-05, took: 118.31s (avg: 118.31s), ETA: 0d:6h:13m:40s [TRAIN] loss: 0.1570, iou: 0.7389, f1: 0.8430 [EVAL] loss: 0.2171, iou: 0.6527, f1: 0.7829
@20230726_0732 @20230726_0732 [EP 311/500] lr: 6e-05, took: 118.21s (avg: 118.21s), ETA: 0d:6h:11m:42s [TRAIN] loss: 0.1567, iou: 0.7393, f1: 0.8433 [EVAL] loss: 0.2162, iou: 0.6540, f1: 0.7838
@20230726_0734 @20230726_0734 [EP 312/500] lr: 6e-05, took: 117.81s (avg: 117.81s), ETA: 0d:6h:6m:36s [TRAIN] loss: 0.1563, iou: 0.7398, f1: 0.8437 [EVAL] loss: 0.2153, iou: 0.6553, f1: 0.7847
@20230726_0736 @20230726_0736 [EP 313/500] lr: 6e-05, took: 118.27s (avg: 118.27s), ETA: 0d:6h:7m:46s [TRAIN] loss: 0.1556, iou: 0.7409, f1: 0.8444 [EVAL] loss: 0.2149, iou: 0.6560, f1: 0.7851
@20230726_0738 @20230726_0738 [EP 314/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:6h:5m:48s [TRAIN] loss: 0.1563, iou: 0.7398, f1: 0.8437 [EVAL] loss: 0.2154, iou: 0.6553, f1: 0.7846
@20230726_0740 @20230726_0740 [EP 315/500] lr: 6e-05, took: 117.73s (avg: 117.73s), ETA: 0d:6h:0m:45s [TRAIN] loss: 0.1553, iou: 0.7414, f1: 0.8447 [EVAL] loss: 0.2139, iou: 0.6573, f1: 0.7861
@20230726_0742 @20230726_0742 [EP 316/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:6h:1m:52s [TRAIN] loss: 0.1548, iou: 0.7421, f1: 0.8452 [EVAL] loss: 0.2140, iou: 0.6570, f1: 0.7860
@20230726_0744 @20230726_0744 [EP 317/500] lr: 6e-05, took: 117.84s (avg: 117.84s), ETA: 0d:5h:56m:51s [TRAIN] loss: 0.1555, iou: 0.7410, f1: 0.8445 [EVAL] loss: 0.2142, iou: 0.6567, f1: 0.7858
@20230726_0746 @20230726_0746 [EP 318/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:5h:57m:56s [TRAIN] loss: 0.1548, iou: 0.7421, f1: 0.8452 [EVAL] loss: 0.2151, iou: 0.6555, f1: 0.7849
@20230726_0748 @20230726_0748 [EP 319/500] lr: 6e-05, took: 117.95s (avg: 117.95s), ETA: 0d:5h:52m:57s [TRAIN] loss: 0.1545, iou: 0.7425, f1: 0.8455 [EVAL] loss: 0.2148, iou: 0.6559, f1: 0.7852
@20230726_0750 @20230726_0750 [EP 320/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:5h:54m:0s [TRAIN] loss: 0.1543, iou: 0.7429, f1: 0.8457 [EVAL] loss: 0.2151, iou: 0.6555, f1: 0.7849
@20230726_0752 @20230726_0752 [EP 321/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:5h:52m:2s [TRAIN] loss: 0.1540, iou: 0.7433, f1: 0.8460 [EVAL] loss: 0.2159, iou: 0.6546, f1: 0.7841
@20230726_0754 @20230726_0754 [EP 322/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:5h:47m:6s [TRAIN] loss: 0.1545, iou: 0.7425, f1: 0.8455 [EVAL] loss: 0.2154, iou: 0.6552, f1: 0.7846
@20230726_0756 @20230726_0756 [EP 323/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:5h:48m:6s [TRAIN] loss: 0.1543, iou: 0.7429, f1: 0.8457 [EVAL] loss: 0.2166, iou: 0.6535, f1: 0.7834
@20230726_0758 @20230726_0758 [EP 324/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:5h:46m:8s [TRAIN] loss: 0.1545, iou: 0.7425, f1: 0.8455 [EVAL] loss: 0.2171, iou: 0.6529, f1: 0.7829
@20230726_0800 @20230726_0800 [EP 325/500] lr: 6e-05, took: 117.82s (avg: 117.82s), ETA: 0d:5h:41m:15s [TRAIN] loss: 0.1548, iou: 0.7421, f1: 0.8452 [EVAL] loss: 0.2165, iou: 0.6537, f1: 0.7835
@20230726_0802 @20230726_0802 [EP 326/500] lr: 6e-05, took: 117.79s (avg: 117.79s), ETA: 0d:5h:39m:18s [TRAIN] loss: 0.1548, iou: 0.7422, f1: 0.8452 [EVAL] loss: 0.2172, iou: 0.6529, f1: 0.7828
@20230726_0804 @20230726_0804 [EP 327/500] lr: 6e-05, took: 118.01s (avg: 118.01s), ETA: 0d:5h:40m:14s [TRAIN] loss: 0.1549, iou: 0.7420, f1: 0.8451 [EVAL] loss: 0.2163, iou: 0.6541, f1: 0.7837
@20230726_0806 @20230726_0806 [EP 328/500] lr: 6e-05, took: 118.31s (avg: 118.31s), ETA: 0d:5h:38m:16s [TRAIN] loss: 0.1553, iou: 0.7414, f1: 0.8447 [EVAL] loss: 0.2170, iou: 0.6533, f1: 0.7830
@20230726_0808 @20230726_0808 [EP 329/500] lr: 6e-05, took: 118.28s (avg: 118.28s), ETA: 0d:5h:36m:18s [TRAIN] loss: 0.1554, iou: 0.7412, f1: 0.8446 [EVAL] loss: 0.2177, iou: 0.6525, f1: 0.7823
